<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;20191101;000000;17892.0000000;18220.0000000;17720.0000000;18186.0000000;196359
GMKN;D;20191105;000000;18204.0000000;18244.0000000;17980.0000000;18140.0000000;113796
GMKN;D;20191106;000000;18102.0000000;18304.0000000;18004.0000000;18304.0000000;178543
GMKN;D;20191107;000000;18508.0000000;18736.0000000;18304.0000000;18706.0000000;293142
GMKN;D;20191108;000000;18774.0000000;18798.0000000;18402.0000000;18520.0000000;184265
GMKN;D;20191111;000000;18502.0000000;18638.0000000;17994.0000000;18112.0000000;318338
GMKN;D;20191112;000000;18022.0000000;18088.0000000;17530.0000000;17642.0000000;330474
GMKN;D;20191113;000000;17590.0000000;17612.0000000;17364.0000000;17422.0000000;183910
GMKN;D;20191114;000000;17390.0000000;17770.0000000;17230.0000000;17426.0000000;235553
GMKN;D;20191115;000000;17450.0000000;17726.0000000;17450.0000000;17680.0000000;137393
GMKN;D;20191118;000000;17692.0000000;17838.0000000;17318.0000000;17358.0000000;235863
GMKN;D;20191119;000000;17306.0000000;17636.0000000;17212.0000000;17592.0000000;190315
GMKN;D;20191120;000000;17542.0000000;17646.0000000;17382.0000000;17646.0000000;111145
GMKN;D;20191121;000000;17634.0000000;17744.0000000;17502.0000000;17658.0000000;126301
GMKN;D;20191122;000000;17590.0000000;17758.0000000;17414.0000000;17476.0000000;143725
GMKN;D;20191125;000000;17504.0000000;17568.0000000;17260.0000000;17344.0000000;150013
GMKN;D;20191126;000000;17356.0000000;17482.0000000;17220.0000000;17240.0000000;294737
GMKN;D;20191127;000000;17230.0000000;17320.0000000;17106.0000000;17212.0000000;101869
GMKN;D;20191128;000000;17178.0000000;17270.0000000;16508.0000000;17172.0000000;151160
GMKN;D;20191129;000000;17106.0000000;17152.0000000;17000.0000000;17046.0000000;107417
GMKN;D;20191202;000000;17020.0000000;17240.0000000;16910.0000000;17094.0000000;214560
GMKN;D;20191203;000000;17112.0000000;17460.0000000;17066.0000000;17304.0000000;221952
GMKN;D;20191204;000000;17304.0000000;17446.0000000;17200.0000000;17246.0000000;120189
GMKN;D;20191205;000000;17318.0000000;17632.0000000;17262.0000000;17622.0000000;169337
GMKN;D;20191206;000000;17648.0000000;18048.0000000;17636.0000000;18048.0000000;221216
GMKN;D;20191209;000000;18064.0000000;18468.0000000;18006.0000000;18420.0000000;201160
GMKN;D;20191210;000000;18440.0000000;18478.0000000;18024.0000000;18478.0000000;207573
GMKN;D;20191211;000000;18484.0000000;18712.0000000;18376.0000000;18678.0000000;196298
GMKN;D;20191212;000000;18720.0000000;19158.0000000;18664.0000000;18928.0000000;272732
GMKN;D;20191213;000000;18980.0000000;19494.0000000;18940.0000000;19474.0000000;275788
GMKN;D;20191216;000000;19502.0000000;19978.0000000;19418.0000000;19722.0000000;318964
GMKN;D;20191217;000000;19750.0000000;19796.0000000;19412.0000000;19504.0000000;289785
GMKN;D;20191218;000000;19500.0000000;19626.0000000;19222.0000000;19626.0000000;275737
GMKN;D;20191219;000000;19604.0000000;19850.0000000;19600.0000000;19796.0000000;209531
GMKN;D;20191220;000000;19808.0000000;19926.0000000;19758.0000000;19776.0000000;157692
